mario : ('Qc', '7s'). Ai : ('Ks', '5c')Floop: ['Kh', 'Js', 'Ah']. 
mario : ('Qc', 'Jc'). Ai : ('6s', '6c')Floop: ['7h', 'Kd', 'Qs']. 
mario : ('2d', '10s'). Ai : ('5s', '3s'). Floop: ['8d', '6c', '8h']. 
mario : ('7c', 'Ac'). Ai : ('5c', '7s'). Floop: ['Kh', 'Kd', '9d']. 
dario : ('Qc', 'Qh'). Ai : ('6h', '7s'). Floop: ['Jc', '3c', 'Ah']. 
mario : ('4d', '3d'). Ai : ('6c', '2c'). Floop: ['4h', 'Kc', '8c']. 
mario : ('3d', 'Jh'). Ai : ('3c', '6s'). Floop: ['10c', '9h', '7s']. 
mario : ('10c', '5h'). Ai : ('7h', '3h'). Floop: ['Ac', '2h', '8s']. 
mario : ('8s', '9h'). Ai : ('6d', '2s'). Floop: ['Qd', '4d', '2h']. 
mario : ('4h', '9h'). Ai : ('8c', '7h'). Floop: ['2h', '4s', '9c']. 
mario : ('8c', '10s'). Ai : ('4c', '10h'). Floop: ['Jd', '2h', '4d']. 
mario : ('9s', '6c'). Ai : ('8s', '8c'). Floop: ['6d', 'Kh', '4h']. 
mario : ('3h', 'Kh'). Ai : ('5c', '5s'). Floop: ['5h', '10s', '6d']. 
mario : ('Js', '8s'). Ai : ('3s', 'Qh'). Floop: ['4d', '7d', 'Jd']. 
mario : ('7c', '2d'). Ai : ('Ah', '9s'). Floop: ['8s', '6s', '2s']. 
mario : ('9s', '5c'). Ai : ('3h', '5s'). Floop: ['4c', '6h', 'Qs']. 
mario : ('Ah', '6c'). Ai : ('8h', 'Ad'). Floop: ['2d', 'Ac', '5h']. 
mario : ('3c', '8h'). Ai : ('Kh', '6s'). Floop: ['3s', '10c', 'Ah']. 
mario : ('10s', 'Kd'). Ai : ('Ad', '8h'). Floop: ['As', '8d', 'Jc']. 
mario : ('Qd', 'Kc'). Ai : ('5d', '4h'). Floop: ['Js', '8h', '6c']. 
mario : ('5c', '6h'). Ai : ('9s', 'Ac'). Floop: ['Qd', '4d', 'Jd']. 
mario : ('10d', '8s'). Ai : ('4d', '10h'). Floop: ['Ac', '10s', 'Ad']. 
mario : ('4s', 'Jh'). Ai : ('5d', 'Jc'). Floop: ['Jd', 'Qd', 'As']. 
mario : ('4c', 'Kc'). Ai : ('10d', 'Kh'). Floop: ['Qc', '2h', 'Jc']. 
mario : ('7d', '3h'). Ai : ('10c', '10h'). Floop: ['5c', '9c', '4s']. 
mario : ('Kc', '6h'). Ai : ('Qs', 'Js'). Floop: ['2s', '9s', 'Jc']. 
mario : ('7d', '10s'). Ai : ('9c', '8d'). Floop: ['As', 'Kh', 'Qs']. 
mario : ('8h', '4s'). Ai : ('As', '4d'). Floop: ['Ad', '5s', '8c']. 
mario : ('7h', 'Jc'). Ai : ('4s', '10s'). Floop: ['6d', 'Jh', '6c']. 
mario : ('6d', '8d'). Ai : ('2s', '7c'). Floop: ['Jc', 'Jh', '5s']. 
mario : ('6s', '3c'). Ai : ('6c', '10d'). Floop: ['4c', '5c', 'Kh']. 
mario : ('6c', '4c'). Ai : ('4d', 'Ad'). Floop: ['9c', '5d', '3d']. 
mario : ('6d', '4s'). Ai : ('8c', '10c'). Floop: ['6h', '10s', '9h']. 
mario : ('2c', '10c'). Ai : ('4s', '9c'). Floop: ['3h', '2s', '3d']. 
mario : ('Qs', '4h'). Ai : ('Kd', 'Qh'). Floop: ['6s', 'Jc', '2c']. 
mario : ('Qd', 'Ah'). Ai : ('7h', '8s'). Floop: ['Jc', 'Jd', '10d']. 
mario : ('Ad', '7s'). Ai : ('3c', 'Ah'). Floop: ['6c', '2s', '7d']. 
